Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-06-25,69,88.39601707458496,2659.536578655243,,,0.3534575409760917,1.556432843208313,0.2528688311576843,4542,,,,,168531,
2022-06-26,100,,4049.130016684532,3.0,3,0.41754770403075675,1.2873294353485107,0.2510583996772766,7095,,,,,,
2022-06-27,87,239.86854553222656,2816.693631887436,1.0,1,0.4107923471204031,1.6323459148406982,0.2510583996772766,5296,,,,,1026325,
2022-06-28,88,141.68530577421188,3254.408222734928,,,0.3743556368579613,1.44818115234375,0.2510583996772766,5837,,,,,1647269,97014
2022-06-29,60,91.07126474380493,2035.2161910533905,1.0,1,0.3343311434185063,2.451460599899292,0.2510583996772766,3949,,,,,1181891,
2022-06-30,25,84.85933804512024,942.7209537029266,,,0.33702611180881736,1.44346284866333,0.2510583996772766,1966,,,,,784425,152030
2022-07-01,54,79.08738821744919,2277.488556843445,,,0.3389042023107065,1.6603047847747803,0.2615191638469696,3960,,,,,1026368,
2022-07-02,61,109.36396259015017,2328.0208934729844,,,0.34369253160027013,1.4085280895233154,0.2615191638469696,4185,,,,,212220,76017
2022-07-03,30,42.595754206724834,1207.7692484855652,,,0.3648683847579269,1.0319534540176392,0.2510583996772766,2245,,,,,254634,
2022-07-04,58,122.24893951416016,1690.9369012117386,14.0,14,0.35305277704133636,0.8254919052124023,0.24953556060791016,3101,,,,891290,,
2022-07-05,31,86.30303525924683,1354.7676162719727,,,0.5108523740964729,1.3402776718139648,0.2510583996772766,2525,,,,,925581,98511
2022-07-06,55,51.8349609375,1885.9304144382477,,,0.33263617266372286,0.9138504266738892,0.2615191638469696,3330,,,,,672696,
2022-07-07,38,48.718785002827644,1432.135908126831,,,0.39556818106284264,1.738904595375061,0.2510583996772766,2783,,,,,389331,
2022-07-08,79,70.36208629608154,2810.92124658823,,,0.4006415595429458,1.390236258506775,0.24276579916477203,5317,,,,,450506,234398
2022-07-09,65,87.46767173707485,2258.3090975880623,,,0.4032881440051538,1.0801786184310913,0.2510583996772766,4386,,,,,1135125,
2022-07-10,83,223.94656121730804,2295.4550223350525,18.0,18,0.38475587894627217,1.5958902835845947,0.2510583996772766,3949,,,,1125860,660333,
2022-07-11,62,150.07388627529144,2160.330304145813,,,0.35563641630567516,1.7424635887145996,0.2510583996772766,3762,,,,,1513585,
2022-07-12,29,17.761998414993286,1264.1877312660217,,,0.37225786946641365,1.5496116876602173,0.2510583996772766,2331,,,,,230509,
2022-07-13,91,122.77776396274567,3300.681182026863,,,0.423687689004128,1.1885372400283813,0.25127944350242615,6282,,,,,1284375,
2022-07-14,27,59.3726110458374,1109.8545038700104,,,0.4235230352718976,0.9945835471153259,0.282440721988678,2096,,,,,770517,
2022-07-15,68,157.81508266925812,2427.5153007507324,,,0.43797845183736894,1.4588894844055176,0.2510583996772766,4598,,,,,1162308,
2022-07-16,53,101.44282650947571,1891.6099737286568,,,0.4321333167943881,1.1468297243118286,0.2510583996772766,3346,,,,,1266043,
2022-07-17,55,216.45054721832275,2232.9627583026886,,,0.40914294967256964,1.269019603729248,0.2615191638469696,3928,,,,,1058667,623433
2022-07-18,36,142.29686737060547,1450.6617800037616,3.0,3,0.3358010692177483,1.4261789321899414,0.254217267036438,2519,,,,,1846678,
